,Graphlet ID0,,,,Graphlet ID1,,,,Graphlet ID2,,,,Graphlet ID3,,,,Graphlet ID4,,,,Graphlet ID5,,
,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW
ia-email-univ,1133,5451,10**6,,,,,,,,,,,,,,,,,,,,
mixing- 3 step,0.0240109439414,0.00838667222865,0.116189577913,,0.0169942721922,0.00898809577441,0.338840777864,,0.0102131856013,0.00214524421632,0.132798622159,,0.0050581117886,0.0239585066915,0.694962988772,,0.0558065693175,0.0126164359056,0.505567569837,,0.191301802655,0.0924927530173,1.49588064256
mixing- 4 step,0.0181870810656,0.00102076217007,0.100136350685,,0.0100959331426,0.0102017917933,0.301365683061,,0.00729642210799,0.00392821120369,0.10726647957,,0.0295607294339,0.0197470258791,0.46974040956,,0.055297461086,0.00786104978132,0.392083680732,,0.15607398037,0.0531923461517,0.983129766086
mixing- 5 step,0.00875521672485,0.00642140468033,0.0890481058705,,0.00610766393251,0.00431912005393,0.256348182288,,0.00648619774764,0.000594422572966,0.0862060366613,,0.0159412682091,0.00841542515652,0.411692378211,,0.0333050157611,0.011275505349,0.348377957071,,0.188097002251,0.0636697446275,0.975587373129
mixing- 6 step,0.00937340431588,0.00332336197355,0.0813739194683,,0.0058654931964,0.000387260922897,0.228898051309,,0.00153998083048,0.00901513113359,0.0796678325785,,0.0885699171543,0.0084204591807,0.446518868648,,0.0382393389742,0.00231810412693,0.301195843374,,0.140059595248,0.0243695525935,0.794615742798
mixing- 7 step,0.00776486755866,0.000250001162219,0.0760278065805,,0.00801888914966,0.00225122856519,0.20259366624,,0.0026436225879,0.00302003937195,0.0740878500719,,0.00631362770561,0.0148969938297,0.369896114048,,0.0340287361409,0.00295312857946,0.246315917397,,0.112304223128,0.028297302442,0.719210000771
mixing- 8 step,0.00703749629111,0.00294930671205,0.0724905291098,,0.00788926024894,0.00298113157337,0.185168430246,,0.0025270178478,0.00259399592161,0.0636529605019,,0.0308141460806,0.00842442553853,0.40704443212,,0.0275682042827,0.0038817789566,0.22322097424,,0.117640457798,0.011002661661,0.538238988756
mixing- 9 step,0.00165426019477,0.000171991876636,0.0672326710577,,0.000331783456875,0.00527233805907,0.180202593944,,0.00214067539756,0.00269433146955,0.062161353264,,0.0124369901145,0.00581754753996,0.256122568582,,0.0247366130761,0.00470074695285,0.228931089677,,0.0866827586171,0.0243634063148,0.553318209825
mixing- 10 step,0.000319610189603,0.00239023418705,0.0640687121206,,0.00735668440483,0.000209625268335,0.162729678206,,0.0025121681287,0.00597553544898,0.0607123359241,,0.00543555604335,0.00421995869187,0.272374268433,,0.0290902972554,0.00136057081888,0.220487020715,,0.0215661689911,0.108196558173,0.425130330473
mixing- 11 step,0.00574845839857,0.000300725838354,0.0613561159201,,0.00997631952116,0.000363120938817,0.151367125037,,0.00416812393322,0.00456407406057,0.0638414104545,,0.0246856908191,0.0142303737803,0.344350300568,,0.0170412521805,0.0116861292693,0.203848455636,,0.113367240078,0.00733031772863,0.4703710928
mixing- 12 step,0.00190131377212,0.00135116901827,0.0583279153365,,0.00325489565701,0.000926559498897,0.145207915256,,0.000891740293598,0.00196405853304,0.0514688720247,,0.0115589018261,0.00551883922848,0.295590185772,,0.017911175172,0.00962740571866,0.173800734147,,0.0728024519013,0.0136304132902,0.364804623882
mixing- 13 step,0.00680621783181,0.0017674893583,0.0550927081306,,0.00211238782609,0.000828300804108,0.14019440193,,0.0041404263519,0.00558047073801,0.0480608774238,,0.0426952145847,0.0119953020091,0.239864636827,,0.0163860136987,0.00144083269022,0.179014239996,,0.0279678886177,0.0398307290721,0.560852346
mixing- 14 step,0.00853180240812,1.64041883233E-06,0.052719493742,,0.000567944453043,0.00369989229796,0.140957050383,,0.000170440907726,0.000631416055908,0.0542136142078,,0.0146945974044,0.0155191804414,0.191104724034,,0.0113771020696,0.0122970791414,0.170321936887,,0.0909471771252,0.0097046152651,0.387422920114
mixing- 15 step,0.00295807686581,0.00141883383429,0.0506177755898,,0.00489179054596,0.00125981536759,0.133747661124,,0.0026612905644,0.0033847496484,0.0514870109353,,0.0246815920353,0.0168120389255,0.160919622723,,0.00731171600562,0.00166763591223,0.148965454451,,0.0621246142201,0.0175660673684,0.289397185256
mixing- 16 step,0.00421926921636,0.00103846051181,0.048410858791,,0.00521233525712,0.000664106249029,0.126490549585,,0.00322544914331,0.00136239980211,0.0420317206375,,0.0133049504518,0.00487935176013,0.2212862218,,0.012826640221,0.00545737617815,0.120407812033,,0.0792029257824,0.0374481579004,0.229073280831
mixing- 17 step,0.0015867094409,0.00317794354983,0.0464211391632,,0.0037643582001,0.00398858708994,0.118612876133,,0.00589611461478,0.000795024012676,0.0426268912514,,0.0181977396704,0.0151893660691,0.15859546625,,0.0160190582358,0.0097669866218,0.131580960475,,0.0386383745857,0.0201898105549,0.37233811912
mixing- 18 step,0.00112131614825,0.000598029925106,0.0446418287879,,0.000738331215118,0.00534761727471,0.110926164835,,0.00436768536551,0.000990902514395,0.0403474667881,,0.0243240414078,0.0125975720141,0.256111263388,,0.021098495301,0.00471352376648,0.167337453488,,0.0589190516375,0.020415255327,0.213990199057
mixing- 19 step,0.00139216059481,0.000156373372334,0.0415423998701,,0.00107741939206,0.00604226012438,0.0970814536141,,0.000707988418436,0.00285562058781,0.0412833301595,,0.0470761826209,0.0103885593303,0.144662169274,,0.0138396912995,0.00181502188077,0.112706636492,,0.049310873815,0.00709471561526,0.364795070145
mixing- 20 step,0.00384612116122,0.00056540948305,0.040625079105,,0.00167281993177,0.00153494163554,0.0896334617424,,0.00647110039429,0.00107670066991,0.0427728160388,,0.0252010367455,0.00968004907769,0.149304679863,,0.000992414580382,0.00331153503175,0.118665115948,,0.0418376283801,0.0151715782844,0.13858480389
,,,,,,,,,,,,,,,,,,,,,,,
